Forename,Count
Ryley,1042
Ajay,1042
Josiah,1039
Maximus,1036
Chelsey,1033
Shakira,1030
Julian,1030
Marco,1030
Seren,1027
Hashim,1027
Kamran,1025
Sumaya,1025
Keegan,1021
Ted,1021
Kerry,1017
Shanice,1012
Elsa,1006
Jeremy,1006
Annalise,1002
Danyal,1000
Nia,999
Zoya,998
Micah,997
Roisin,995
Anais,994
Elias,994
Aqsa,993
Vinnie,991
Paulina,991
Dennis,990
Abdirahman,990
Sameer,987
Adele,986
Evangeline,986
Hugh,985
Aliya,984
Ayman,982
Denis,976
Emmie,976
Amirah,976
Edith,975
Alishba,974
Awais,974
Kaya,974
Todd,970
Cassie,968
Tamsin,966
Marie,966
Leyla,965
Rehan,962
Halle,960
Hussain,960
Saul,957
Lily-Rose,955
Wiktor,955
Riya,954
Anas,954
Esha,952
Oakley,951
Ralph,951
Nell,951
Luka,951
Brittany,948
CHANELLE,943
Adnan,940
Zakaria,940
Lenny,940
Monica,938
Fatimah,937
Caroline,936
Caden,934
Isaiah,934
Lillian,929
Douglas,926
Alec,926
Tyrone,924
Dominika,923
Macauley,920
Joey,917
Hamish,916
Neha,914
Stevie,911
Eddie,911
Aishah,911
Qasim,911
Dana,908
Brianna,907
May,907
Igor,905
Eli,903
Farah,899
Alannah,897
Dante,892
Clayton,892
Arun,891
Rufus,890
Shona,890
Brody,888
Lacie,886
Patrycja,885
Britney,885
Lila,885
Joanne,881
Aliza,881
Samir,880
Lincoln,879
Sapphire,879
Erika,877
Harmony,875
Kurtis,875
Jakob,873
Junior,873
Jenny,873
Anton,873
Nadine,871
Faiza,870
Albie,868
Humaira,868
Johnny,866
Frazer,866
Jaime,863
Coby,861
Brett,860
Amani,859
ALEKSANDER,859
Diya,855
Keelan,855
Anika,854
Olly,854
Fergus,853
Rahul,851
Shea,849
Rosemary,848
Keisha,845
Maximillian,845
Fleur,840
Mikey,839
Yusra,836
Mikolaj,833
Kayley,831
Gareth,831
Arabella,829
Dion,829
Xander,829
Uzair,828
Armaan,827
Kieren,827
Pippa,827
Bianca,826
Selina,826
Josef,825
Ty,825
Yasin,821
Jazmine,819
Alysha,819
Simone,814
Ellie-Mai,813
Ivy,812
Flora,812
Ellena,810
Abbi,810
Phillip,808
Sumayyah,806
Callie,804
Cayden,803
Alicja,800
Maciej,800
Carlos,798
Leia,796
Subhan,794
Rianna,790
Hasnain,788
Saira,788
ZEESHAN,787
Gary,786
Bryn,786
Aadam,786
Cleo,785
Davina,785
Asma,784
Sharon,782
Kathleen,778
Krystian,777
Caiden,777
Patricia,776
Sabah,775
Ayla,775
Daria,774
ARON,771
Aaminah,770
Tasnim,770
LILIANA,768
Marwa,766
Leyton,765
Ricardo,764
Aleesha,764
Honor,764
Mario,763
Asher,763
Jonathon,761
Piotr,759
